variable_nombre,variable_valor,status
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3112,1.0
This One Summer,1949,1.0
Thirst,1727,1.0
The Torch Is Passed: A Harding Family Story,1909,1.0
The Secret of Dreadwillow Carse,5613,1.0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",5641,1.0
The Past Never Ends,5650,1.0
The Natural History of Us (The Fine Art of Pretending #2),4522,1.0
The Nameless City (The Nameless City #1),3816,1.0
The Murder That Never Was (Forensic Instincts #5),5411,1.0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4296,1.0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2389,1.0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,1677,1.0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",2059,1.0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,3713,1.0
The Electric Pencil: Drawings from Inside State Hospital No. 3,5606,1.0
The Death of Humanity: and the Case for Life,5811,1.0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",4905,1.0
The Art Forger,4076,1.0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1973,1.0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,3224,1.0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4183,1.0
Soul Reader,3958,1.0
Security,3925,1.0
"Saga, Volume 6 (Saga (Collected Editions) #6)",2502,1.0
"Saga, Volume 5 (Saga (Collected Editions) #5)",5104,1.0
Reskilling America: Learning to Labor in the Twenty-First Century,1983,1.0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",5040,1.0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361,1.0
Princess Between Worlds (Wide-Awake Princess #5),1334,1.0
"Pop Gun War, Volume 1: Gift",1897,1.0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628,1.0
Patience,1016,1.0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544,1.0
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841,1.0
Online Marketing for Busy Authors: A Step-By-Step Guide,4635,1.0
On a Midnight Clear,1407,1.0
Obsidian (Lux #1),1486,1.0
My Paris Kitchen: Recipes and Stories,3337,1.0
Masks and Shadows,5640,1.0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402,1.0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691,1.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561,1.0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992,1.0
"Layered: Baking, Building, and Styling Spectacular Cakes",4011,1.0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390,1.0
Join,3567,1.0
In the Country We Love: My Family Divided,2200,1.0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,5736,1.0
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2917,1.0
I am a Hero Omnibus Volume 1,5463,1.0
How to Be Miserable: 40 Strategies You Already Use,4603,1.0
Her Backup Boyfriend (The Sorensen Family #1),3397,1.0
"Giant Days, Vol. 2 (Giant Days #5-8)",2211,1.0
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,2969,1.0
First and First (Five Boroughs #3),1597,1.0
Fifty Shades Darker (Fifty Shades #2),2196,1.0
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,5435,1.0
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",3797,1.0
Danganronpa Volume 1,5199,1.0
Crown of Midnight (Throne of Glass #2),4329,1.0
"Codename Baboushka, Volume 1: The Conclave of Death",3672,1.0
Camp Midnight,1708,1.0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,2914,1.0
Burning,2881,1.0
Bossypants,4946,1.0
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",3792,1.0
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2809,1.0
Algorithms to Live By: The Computer Science of Human Decisions,3081,1.0
A World of Flavor: Your Gluten Free Passport,4295,1.0
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",5676,1.0
A Murder in Time,1664,1.0
A Flight of Arrows (The Pathfinders #2),5553,1.0
A Fierce and Subtle Poison,2813,1.0
A Court of Thorns and Roses (A Court of Thorns and Roses #1),5237,1.0
(Un)Qualified: How God Uses Broken People to Do Big Things,5400,1.0
You Are What You Love: The Spiritual Power of Habit,2187,1.0
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",4330,1.0
Tuesday Nights in 1980,2104,1.0
Tracing Numbers on a Train,4160,1.0
Throne of Glass (Throne of Glass #1),3507,1.0
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,5964,1.0
Thirteen Reasons Why,5272,1.0
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,5808,1.0
The Wedding Dress,2412,1.0
The Vacationers,4215,1.0
The Third Wave: An Entrepreneur’s Vision of the Future,1261,1.0
The Stranger,1744,1.0
The Shadow Hero (The Shadow Hero),3314,1.0
The Secret (The Secret #1),2737,1.0
The Regional Office Is Under Attack!,5136,1.0
The Psychopath Test: A Journey Through the Madness Industry,3600,1.0
The Project,1065,1.0
The Power of Now: A Guide to Spiritual Enlightenment,4354,1.0
The Omnivore's Dilemma: A Natural History of Four Meals,3821,1.0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,3734,1.0
The Murder of Roger Ackroyd (Hercule Poirot #4),4410,1.0
The Mistake (Off-Campus #2),4329,1.0
The Matchmaker's Playbook (Wingmen Inc. #1),5585,1.0
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,3760,1.0
The Long Shadow of Small Ghosts: Murder and Memory in an American City,1097,1.0
The Kite Runner,4182,1.0
The House by the Lake,3695,1.0
The Glittering Court (The Glittering Court #1),4428,1.0
The Girl on the Train,5502,1.0
The Genius of Birds,1724,1.0
The Emerald Mystery,2315,1.0
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,4125,1.0
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,3200,1.0
The Artist's Way: A Spiritual Path to Higher Creativity,3849,1.0
The Art of War,3334,1.0
The Argonauts,1093,1.0
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,2755,1.0
Suddenly in Love (Lake Haven #1),5599,1.0
Something More Than This,1624,1.0
Soft Apocalypse,2612,1.0
So You've Been Publicly Shamed,1223,1.0
Shoe Dog: A Memoir by the Creator of NIKE,2399,1.0
"Shobu Samurai, Project Aryoku (#3)",2906,1.0
Secrets and Lace (Fatal Hearts #1),2027,1.0
Scarlett Epstein Hates It Here,4355,1.0
Romero and Juliet: A Tragic Tale of Love and Zombies,3694,1.0
Redeeming Love,2047,1.0
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,4106,1.0
Poems That Make Grown Women Cry,1419,1.0
"Nightingale, Sing",3828,1.0
Night Sky with Exit Wounds,4105,1.0
Mrs. Houdini,3025,1.0
Modern Romance,2826,1.0
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),1076,1.0
Louisa: The Extraordinary Life of Mrs. Adams,1685,1.0
Little Red,1347,1.0
Library of Souls (Miss Peregrine’s Peculiar Children #3),4856,1.0
Large Print Heart of the Pride,1915,1.0
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,5736,1.0
Hollow City (Miss Peregrine’s Peculiar Children #2),4298,1.0
Grumbles,2216,1.0
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4943,1.0
Frostbite (Vampire Academy #2),2999,1.0
Follow You Home,2136,1.0
First Steps for New Christians (Print Edition),2900,1.0
Finders Keepers (Bill Hodges Trilogy #2),5353,1.0
"Fables, Vol. 1: Legends in Exile (Fables #1)",4162,1.0
Eureka Trivia 6.0,5459,1.0
Drive: The Surprising Truth About What Motivates Us,3495,1.0
Done Rubbed Out (Reightman & Bailey #1),3772,1.0
Doing It Over (Most Likely To #1),3561,1.0
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",4216,1.0
Dark Notes,1919,1.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",1943,1.0
Close to You,4946,1.0
Chasing Heaven: What Dying Taught Me About Living,3780,1.0
Big Magic: Creative Living Beyond Fear,3080,1.0
Becoming Wise: An Inquiry into the Mystery and Art of Living,2743,1.0
Beauty Restored (Riley Family Legacy Novellas #3),1111,1.0
Batman: The Long Halloween (Batman),3650,1.0
Batman: The Dark Knight Returns (Batman),1538,1.0
Ayumi's Violin,1548,1.0
Anonymous,4682,1.0
Amy Meets the Saints and Sages,1846,1.0
Amid the Chaos,3658,1.0
Amatus,5054,1.0
Agnostic: A Spirited Manifesto,1251,1.0
Zealot: The Life and Times of Jesus of Nazareth,2470,1.0
You (You #1),4361,1.0
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",3734,1.0
Wild Swans,1436,1.0
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,5265,1.0
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,3820,1.0
What's It Like in Space?: Stories from Astronauts Who've Been There,1960,1.0
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",5390,1.0
Walt Disney's Alice in Wonderland,1296,1.0
V for Vendetta (V for Vendetta Complete),3710,1.0
Until Friday Night (The Field Party #1),4631,1.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4595,1.0
Twenty Yawns,2208,1.0
Through the Woods,2538,1.0
This Is Where It Ends,2712,1.0
The Year of Magical Thinking,4304,1.0
The Wright Brothers,5680,1.0
The White Queen (The Cousins' War #1),2591,1.0
The Wedding Pact (The O'Malleys #2),3261,1.0
The Time Keeper,2788,1.0
The Testament of Mary,5267,1.0
The Star-Touched Queen,4602,1.0
The Songs of the Gods,4448,1.0
The Song of Achilles,3740,1.0
The Rosie Project (Don Tillman #1),5404,1.0
The Power of Habit: Why We Do What We Do in Life and Business,1688,1.0
The Marriage of Opposites,2808,1.0
The Lucifer Effect: Understanding How Good People Turn Evil,1040,1.0
The Long Haul (Diary of a Wimpy Kid #9),4407,1.0
The Loney,2340,1.0
The Literature Book (Big Ideas Simply Explained),1743,1.0
The Last Mile (Amos Decker #2),5421,1.0
The Immortal Life of Henrietta Lacks,4067,1.0
The Hidden Oracle (The Trials of Apollo #1),5226,1.0
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,2877,1.0
The Guilty (Will Robie #4),1382,1.0
The First Hostage (J.B. Collins #2),2585,1.0
The Dovekeepers,4878,1.0
The Darkest Lie,3535,1.0
The Bane Chronicles (The Bane Chronicles #1-11),4473,1.0
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,1577,1.0
The 14th Colony (Cotton Malone #11),3924,1.0
That Darkness (Gardiner and Renner #1),1392,1.0
Tastes Like Fear (DI Marnie Rome #3),1069,1.0
Take Me with You,4521,1.0
Swell: A Year of Waves,4558,1.0
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),1189,1.0
Still Life with Bread Crumbs,2641,1.0
Steve Jobs,3950,1.0
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,4474,1.0
Someone Like You (The Harrisons #2),5279,1.0
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",3543,1.0
Shtum,5584,1.0
See America: A Celebration of Our National Parks & Treasured Sites,4887,1.0
salt.,4678,1.0
Robin War,4782,1.0
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",2548,1.0
Rain Fish,2357,1.0
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",5089,1.0
Pet Sematary,1056,1.0
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",5215,1.0
Once Was a Time,1828,1.0
Old School (Diary of a Wimpy Kid #10),1183,1.0
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,2195,1.0
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",3839,1.0
My Name Is Lucy Barton,4156,1.0
My Mrs. Brown,2448,1.0
My Kind of Crazy,4036,1.0
Mr. Mercedes (Bill Hodges Trilogy #1),2890,1.0
More Than Music (Chasing the Dream #1),3761,1.0
Made to Stick: Why Some Ideas Survive and Others Die,3885,1.0
Luis Paints the World,5395,1.0
Luckiest Girl Alive,4983,1.0
Lowriders to the Center of the Earth (Lowriders in Space #2),5151,1.0
Love Is a Mix Tape (Music #1),1803,1.0
Looking for Lovely: Collecting the Moments that Matter,2914,1.0
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",4691,1.0
Let It Out: A Journey Through Journaling,2679,1.0
Lady Midnight (The Dark Artifices #1),1628,1.0
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",1955,1.0
Island of Dragons (Unwanteds #7),2965,1.0
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,2598,1.0
I Am Pilgrim (Pilgrim #1),1060,1.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",1475,1.0
"Hush, Hush (Hush, Hush #1)",4702,1.0
Hold Your Breath (Search and Rescue #1),2882,1.0
Hamilton: The Revolution,5879,1.0
Greek Mythic History,1023,1.0
God: The Most Unpleasant Character in All Fiction,3003,1.0
Glory over Everything: Beyond The Kitchen House,4584,1.0
Feathers: Displays of Brilliant Plumage,4905,1.0
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",1506,1.0
Every Last Word,4647,1.0
Eligible (The Austen Project #4),2709,1.0
El Deafo,5762,1.0
Eight Hundred Grapes,1439,1.0
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",5175,1.0
"Eat Fat, Get Thin",5407,1.0
Don't Get Caught,5535,1.0
Doctor Sleep (The Shining #2),4012,1.0
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),3751,1.0
Dear Mr. Knightley,1121,1.0
Daily Fantasy Sports,3658,1.0
Crazy Love: Overwhelmed by a Relentless God,4772,1.0
Cometh the Hour (The Clifton Chronicles #6),2501,1.0
Code Name Verity (Code Name Verity #1),2213,1.0
Clockwork Angel (The Infernal Devices #1),4414,1.0
City of Glass (The Mortal Instruments #3),5602,1.0
City of Fallen Angels (The Mortal Instruments #4),1123,1.0
City of Bones (The Mortal Instruments #1),4328,1.0
City of Ashes (The Mortal Instruments #2),4727,1.0
Cell,2029,1.0
Catching Jordan (Hundred Oaks),5083,1.0
"Carry On, Warrior: Thoughts on Life Unarmed",3185,1.0
Carrie,4623,1.0
Buying In: The Secret Dialogue Between What We Buy and Who We Are,3780,1.0
Brain on Fire: My Month of Madness,4932,1.0
Batman: Europa,3201,1.0
Barefoot Contessa Back to Basics,2801,1.0
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,5062,1.0
Balloon Animals,1703,1.0
Art Ops Vol. 1,4880,1.0
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),5814,1.0
Angels Walking (Angels Walking #1),3420,1.0
Angels & Demons (Robert Langdon #1),5148,1.0
All the Light We Cannot See,2987,1.0
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",1090,1.0
Abstract City,5637,1.0
A Time of Torment (Charlie Parker #14),4835,1.0
A Study in Scarlet (Sherlock Holmes #1),1673,1.0
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",5648,1.0
A People's History of the United States,4079,1.0
A Man Called Ove,3972,1.0
A Distant Mirror: The Calamitous 14th Century,1458,1.0
A Brush of Wings (Angels Walking #3),5551,1.0
1491: New Revelations of the Americas Before Columbus,2180,1.0
"The Three Searches, Meaning, and the Story",1333,1.0
Searching for Meaning in Gailana,3873,1.0
Rook,3786,1.0
My Kitchen Year: 136 Recipes That Saved My Life,1153,1.0
13 Hours: The Inside Account of What Really Happened In Benghazi,2706,1.0
Will You Won't You Want Me?,1386,1.0
Tipping Point for Planet Earth: How Close Are We to the Edge?,3755,1.0
The Star-Touched Queen,3230,1.0
The Silent Sister (Riley MacPherson #1),4629,1.0
The Midnight Watch: A Novel of the Titanic and the Californian,2620,1.0
The Lonely City: Adventures in the Art of Being Alone,3326,1.0
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,5915,1.0
The Golden Condom: And Other Essays on Love Lost and Found,3943,1.0
The Epidemic (The Program 0.6),1444,1.0
The Dinner Party,5654,1.0
The Diary of a Young Girl,5990,1.0
The Children,1188,1.0
Stars Above (The Lunar Chronicles #4.5),4805,1.0
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,2121,1.0
Raspberry Pi Electronics Projects for the Evil Genius,4967,1.0
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,4314,1.0
Psycho: Sanitarium (Psycho #1.5),3697,1.0
Poisonous (Max Revere Novels #3),2680,1.0
One with You (Crossfire #5),1571,1.0
No Love Allowed (Dodge Cove #1),5465,1.0
Murder at the 42nd Street Library (Raymond Ambler #1),5436,1.0
Most Wanted,3528,1.0
"Love, Lies and Spies",2055,1.0
How to Speak Golf: An Illustrated Guide to Links Lingo,5832,1.0
Hide Away (Eve Duncan #20),1184,1.0
Furiously Happy: A Funny Book About Horrible Things,4146,1.0
Everyday Italian: 125 Simple and Delicious Recipes,2010,1.0
Equal Is Unfair: America's Misguided Fight Against Income Inequality,5686,1.0
Eleanor & Park,5651,1.0
Dirty (Dive Bar #1),4083,1.0
Can You Keep a Secret? (Fear Street Relaunch #4),4864,1.0
Boar Island (Anna Pigeon #19),5948,1.0
A Paris Apartment,3901,1.0
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",3877,1.0
Troublemaker: Surviving Hollywood and Scientology,4839,1.0
The Widow,2726,1.0
"The Sleep Revolution: Transforming Your Life, One Night at a Time",1168,1.0
The Improbability of Love,5945,1.0
The Art of Startup Fundraising,2100,1.0
Take Me Home Tonight (Rock Star Romance #3),5398,1.0
Sleeping Giants (Themis Files #1),4874,1.0
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",2115,1.0
Playing with Fire,1371,1.0
Off the Hook (Fishing for Trouble #1),4767,1.0
Mothering Sunday,1334,1.0
"Mother, Can You Not?",1689,1.0
M Train,2718,1.0
Lilac Girls,1728,1.0
Lies and Other Acts of Love,4514,1.0
Lab Girl,4085,1.0
Keep Me Posted,2046,1.0
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,5627,1.0
Grey (Fifty Shades #4),4849,1.0
"Exit, Pursued by a Bear",5134,1.0
Daredevils,1634,1.0
Cravings: Recipes for What You Want to Eat,2050,1.0
Born for This: How to Find the Work You Were Meant to Do,2159,1.0
Arena,2136,1.0
Adultery,2088,1.0
A Mother's Reckoning: Living in the Aftermath of Tragedy,1953,1.0
A Gentleman's Position (Society of Gentlemen #3),1475,1.0
11/22/63,4848,1.0
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",2457,1.0
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,4971,1.0
Without Shame,4827,1.0
Watchmen,5805,1.0
Unlimited Intuition Now,5887,1.0
Underlying Notes,1182,1.0
The Shack,2803,1.0
The New Brand You: Your New Image Makes the Sale for You,4405,1.0
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",1234,1.0
The Flowers Lied,1668,1.0
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",5591,1.0
The Book of Mormon,2457,1.0
The Art and Science of Low Carbohydrate Living,5298,1.0
The Alien Club,5440,1.0
Suzie Snowflake: One beautiful flake (a self-esteem story),5481,1.0
Nap-a-Roo,2508,1.0
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",1041,1.0
Modern Day Fables,4744,1.0
If I Gave You God's Phone Number....: Searching for Spirituality in America,2091,1.0
"Fruits Basket, Vol. 9 (Fruits Basket #9)",3395,1.0
Dress Your Family in Corduroy and Denim,4368,1.0
Don't Forget Steven,3323,1.0
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,3592,1.0
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,4863,1.0
A Shard of Ice (The Black Symphony Saga #1),5663,1.0
A Hero's Curse (The Unseen Chronicles #1),5049,1.0
23 Degrees South: A Tropical Tale of Changing Whether...,3579,1.0
"Zero to One: Notes on Startups, or How to Build the Future",3406,1.0
Why Not Me?,1776,1.0
When Breath Becomes Air,3936,1.0
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,3694,1.0
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),4362,1.0
The New Drawing on the Right Side of the Brain,4302,1.0
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",2845,1.0
The Martian (The Martian #1),4139,1.0
The High Mountains of Portugal,5115,1.0
The Grownup,3588,1.0
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,3691,1.0
South of Sunshine,2893,1.0
Smarter Faster Better: The Secrets of Being Productive in Life and Business,3889,1.0
Silence in the Dark (Logan Point #4),5833,1.0
Shadows of the Past (Logan Point #1),3967,1.0
Roller Girl,1410,1.0
Rising Strong,2182,1.0
Proofs of God: Classical Arguments from Tertullian to Barth,5421,1.0
Please Kill Me: The Uncensored Oral History of Punk,3119,1.0
Out of Print: City Lights Spotlight No. 14,5364,1.0
My Life Next Door (My Life Next Door ),3639,1.0
Miller's Valley,5854,1.0
Man's Search for Meaning,2948,1.0
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",2506,1.0
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,1255,1.0
Les Fleurs du Mal,2904,1.0
Left Behind (Left Behind #1),4072,1.0
Kill 'Em and Leave: Searching for James Brown and the American Soul,4505,1.0
Kierkegaard: A Christian Missionary to Christians,4713,1.0
John Vassos: Industrial Design for Modern Life,2022,1.0
I'll Give You the Sun,5648,1.0
I Will Find You,4421,1.0
Hystopia: A Novel,2196,1.0
Howl and Other Poems,4045,1.0
History of Beauty,1029,1.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,5286,1.0
Future Shock (Future Shock #1),5565,1.0
Ender's Game (The Ender Quintet #1),4364,1.0
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,2841,1.0
Death by Leisure: A Cautionary Tale,3751,1.0
Brilliant Beacons: A History of the American Lighthouse,1145,1.0
Brazen: The Courage to Find the You That's Been Hiding,1922,1.0
Between the World and Me,5691,1.0
Being Mortal: Medicine and What Matters in the End,5506,1.0
"A Murder Over a Girl: Justice, Gender, Junior High",1320,1.0
32 Yolks,5363,1.0
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",4448,1.0
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,1208,1.0
Wildlife of New York: A Five-Borough Coloring Book,2214,1.0
What Happened on Beale Street (Secrets of the South Mysteries #2),2537,1.0
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,4633,1.0
Under the Tuscan Sun,3733,1.0
Toddlers Are A**holes: It's Not Your Fault,2555,1.0
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,3472,1.0
The Whale,3596,1.0
The Story of Art,4114,1.0
The Origin of Species,1001,1.0
The Great Gatsby,3605,1.0
The Good Girl,4903,1.0
The Glass Castle,1624,1.0
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,3955,1.0
The Drowning Girls,3567,1.0
The Constant Princess (The Tudor Court #1),1662,1.0
The Bourne Identity (Jason Bourne #1),4278,1.0
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5230,1.0
The Art Book,3234,1.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,3317,1.0
