variable_nombre,variable_valor,status
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,3112,1.0
This One Summer,1949,1.0
Thirst,1727,1.0
The Torch Is Passed: A Harding Family Story,1909,1.0
The Secret of Dreadwillow Carse,5613,1.0
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",5641,1.0
The Past Never Ends,5650,1.0
The Natural History of Us (The Fine Art of Pretending #2),4522,1.0
The Nameless City (The Nameless City #1),3816,1.0
The Murder That Never Was (Forensic Instincts #5),5411,1.0
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,4296,1.0
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2389,1.0
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,1677,1.0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",2059,1.0
The Gutsy Girl: Escapades for Your Life of Epic Adventure,3713,1.0
The Electric Pencil: Drawings from Inside State Hospital No. 3,5606,1.0
The Death of Humanity: and the Case for Life,5811,1.0
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",4905,1.0
The Art Forger,4076,1.0
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,1973,1.0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,3224,1.0
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,4183,1.0
Soul Reader,3958,1.0
Security,3925,1.0
"Saga, Volume 6 (Saga (Collected Editions) #6)",2502,1.0
"Saga, Volume 5 (Saga (Collected Editions) #5)",5104,1.0
Reskilling America: Learning to Labor in the Twenty-First Century,1983,1.0
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",5040,1.0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",1361,1.0
Princess Between Worlds (Wide-Awake Princess #5),1334,1.0
"Pop Gun War, Volume 1: Gift",1897,1.0
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",3628,1.0
Patience,1016,1.0
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",1544,1.0
orange: The Complete Collection 1 (orange: The Complete Collection #1),4841,1.0
Online Marketing for Busy Authors: A Step-By-Step Guide,4635,1.0
On a Midnight Clear,1407,1.0
Obsidian (Lux #1),1486,1.0
My Paris Kitchen: Recipes and Stories,3337,1.0
Masks and Shadows,5640,1.0
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",1402,1.0
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",4691,1.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",4561,1.0
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),1992,1.0
"Layered: Baking, Building, and Styling Spectacular Cakes",4011,1.0
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),5390,1.0
Join,3567,1.0
In the Country We Love: My Family Divided,2200,1.0
